seed,rho_init,accuracy,ami
2021,0.01,0.88,0.921763653140986
2021,0.1,0.83,0.9045073739626087
2021,0.5,0.878,0.9274948709555099
2021,1.0,0.878,0.9274948709555099
2021,2.0,0.878,0.9274948709555099
2021,5.0,0.88,0.9217636531409859
2021,10.0,0.88,0.921763653140986
2022,0.01,0.876,0.9203198631039107
2022,0.1,0.8280000000000001,0.8869755480828555
2022,0.5,0.876,0.926049037114623
2022,1.0,0.858,0.9222273687357154
2022,2.0,0.876,0.926049037114623
2022,5.0,0.876,0.9190844145759224
2022,10.0,0.876,0.9190844145759224
2023,0.01,0.91,0.91705776025815
2023,0.1,0.91,0.9202911053240501
2023,0.5,0.908,0.9166858364951744
2023,1.0,0.91,0.9202911053240501
2023,2.0,0.91,0.9202911053240501
2023,5.0,0.908,0.9171093109391077
2023,10.0,0.91,0.9202911053240501
2024,0.01,0.924,0.9473914844427395
2024,0.1,0.89,0.9300880348435661
2024,0.5,0.9339999999999999,0.9623566998628114
2024,1.0,0.97,0.9671968099987217
2024,2.0,0.882,0.9315577713170686
2024,5.0,0.972,0.9704933988843341
2024,10.0,0.964,0.9597528779798086
2025,0.01,0.8180000000000001,0.8866380421899065
2025,0.1,0.802,0.886735973291151
2025,0.5,0.804,0.8882135587669167
2025,1.0,0.802,0.886735973291151
2025,2.0,0.802,0.886735973291151
2025,5.0,0.804,0.8882135587669167
2025,10.0,0.804,0.8882135587669167
2026,0.01,0.84,0.8975483711241465
2026,0.1,0.842,0.9016680602709364
2026,0.5,0.856,0.9005926933362597
2026,1.0,0.856,0.9005926933362597
2026,2.0,0.856,0.9005926933362597
2026,5.0,0.84,0.8951462379307777
2026,10.0,0.84,0.898085187083001
2027,0.01,0.876,0.9317932633145356
2027,0.1,0.878,0.9309584256535848
2027,0.5,0.878,0.9309584256535848
2027,1.0,0.878,0.9309584256535848
2027,2.0,0.878,0.9309584256535848
2027,5.0,0.878,0.9309584256535848
2027,10.0,0.878,0.9309584256535848
2028,0.01,0.88,0.9207644927708867
2028,0.1,0.8280000000000001,0.8748383525079861
2028,0.5,0.868,0.9176778512886168
2028,1.0,0.86,0.9032092196010472
2028,2.0,0.868,0.9176778512886168
2028,5.0,0.876,0.9150360020232783
2028,10.0,0.876,0.9150360020232783
2029,0.01,0.834,0.881381656332696
2029,0.1,0.854,0.8927883521885783
2029,0.5,0.806,0.8811837874516331
2029,1.0,0.852,0.8961093962032467
2029,2.0,0.806,0.8811837874516331
2029,5.0,0.866,0.8990799387495427
2029,10.0,0.85,0.8875941435020495
2030,0.01,0.81,0.8927615180194035
2030,0.1,0.946,0.9685428554023073
2030,0.5,0.928,0.949954602654347
2030,1.0,0.928,0.949954602654347
2030,2.0,0.928,0.949954602654347
2030,5.0,0.894,0.9475776079075632
2030,10.0,0.894,0.9475776079075632
