seed,alpha,accuracy,ami
2021,0.001,0.83,0.9045073739626087
2021,0.01,0.878,0.9274948709555099
2021,0.05,0.878,0.9274948709555099
2021,0.1,0.878,0.9274948709555099
2021,0.2,0.878,0.9274948709555099
2022,0.001,0.858,0.9222273687357154
2022,0.01,0.858,0.9222273687357154
2022,0.05,0.858,0.9222273687357154
2022,0.1,0.858,0.9222273687357154
2022,0.2,0.858,0.9222273687357154
2023,0.001,0.91,0.9202911053240501
2023,0.01,0.91,0.9202911053240501
2023,0.05,0.91,0.9202911053240501
2023,0.1,0.91,0.9202911053240501
2023,0.2,0.91,0.9202911053240501
2024,0.001,0.966,0.9619288723840396
2024,0.01,0.964,0.9597528779798086
2024,0.05,0.97,0.9671968099987217
2024,0.1,0.97,0.9671968099987217
2024,0.2,0.972,0.9704933988843341
2025,0.001,0.802,0.886735973291151
2025,0.01,0.802,0.886735973291151
2025,0.05,0.802,0.886735973291151
2025,0.1,0.802,0.886735973291151
2025,0.2,0.802,0.886735973291151
2026,0.001,0.854,0.9041955534095711
2026,0.01,0.808,0.8605977038988876
2026,0.05,0.856,0.9005926933362597
2026,0.1,0.856,0.9005926933362597
2026,0.2,0.856,0.9005926933362597
2027,0.001,0.87,0.9127202824572965
2027,0.01,0.878,0.9309584256535848
2027,0.05,0.878,0.9309584256535848
2027,0.1,0.878,0.9309584256535848
2027,0.2,0.878,0.9309584256535848
2028,0.001,0.866,0.9010049413709641
2028,0.01,0.86,0.9032092196010472
2028,0.05,0.86,0.9032092196010472
2028,0.1,0.876,0.9150360020232783
2028,0.2,0.876,0.9150360020232783
2029,0.001,0.88,0.8985291990772557
2029,0.01,0.8180000000000001,0.8971642606818534
2029,0.05,0.852,0.8961093962032467
2029,0.1,0.85,0.8875941435020495
2029,0.2,0.846,0.8875389694959108
2030,0.001,0.928,0.949954602654347
2030,0.01,0.928,0.949954602654347
2030,0.05,0.928,0.949954602654347
2030,0.1,0.928,0.949954602654347
2030,0.2,0.946,0.9685428554023073
