seed,K_test,K_true,accuracy,ami
2021,10,25,0.44199999999999995,0.4922255871699589
2021,15,25,0.64,0.7361507350313818
2021,20,25,0.724,0.8156305095992316
2021,23,25,0.87,0.9123109495375401
2021,25,25,0.878,0.9274948709555099
2021,27,25,0.854,0.8891398468613243
2021,30,25,0.78,0.8631764557553748
2021,35,25,0.8220000000000001,0.8607757676448238
2021,40,25,0.784,0.8301140524878948
2022,10,25,0.42200000000000004,0.49713661225673234
2022,15,25,0.598,0.6562379095739969
2022,20,25,0.8180000000000001,0.8482844661437782
2022,23,25,0.83,0.874933120246581
2022,25,25,0.858,0.9222273687357154
2022,27,25,0.88,0.9336588710181204
2022,30,25,0.85,0.9058537205902377
2022,35,25,0.8140000000000001,0.8656571512233595
2022,40,25,0.764,0.8232867776289922
2023,10,25,0.41600000000000004,0.4746764428625118
2023,15,25,0.6,0.7043840266045631
2023,20,25,0.788,0.8200447638367555
2023,23,25,0.844,0.872527029555492
2023,25,25,0.91,0.9202911053240501
2023,27,25,0.8240000000000001,0.9005059040006909
2023,30,25,0.852,0.8949276501762005
2023,35,25,0.8160000000000001,0.8394289374298316
2023,40,25,0.752,0.808381688001885
2024,10,25,0.40800000000000003,0.4454854884931313
2024,15,25,0.558,0.6454464566766057
2024,20,25,0.798,0.8346592129754785
2024,23,25,0.848,0.8838705925508658
2024,25,25,0.97,0.9671968099987217
2024,27,25,0.888,0.9299118369396561
2024,30,25,0.874,0.9110604612706956
2024,35,25,0.8140000000000001,0.84949110076557
2024,40,25,0.766,0.8274021823194159
2025,10,25,0.46599999999999997,0.49687151526623125
2025,15,25,0.652,0.7245023915148723
2025,20,25,0.74,0.8037246412683506
2025,23,25,0.8180000000000001,0.8873964899937281
2025,25,25,0.802,0.886735973291151
2025,27,25,0.858,0.9159800446614955
2025,30,25,0.8260000000000001,0.8923455855575415
2025,35,25,0.746,0.8522608108874966
2025,40,25,0.74,0.8082244083620298
2026,10,25,0.41000000000000003,0.46400627403942946
2026,15,25,0.624,0.6793824679272145
2026,20,25,0.792,0.8277207433476521
2026,23,25,0.904,0.9120140078702489
2026,25,25,0.856,0.9005926933362597
2026,27,25,0.83,0.9020693721175918
2026,30,25,0.87,0.909902689918228
2026,35,25,0.83,0.8582316647754317
2026,40,25,0.732,0.7787503325234637
2027,10,25,0.42600000000000005,0.45350129869458616
2027,15,25,0.65,0.6911784877566179
2027,20,25,0.81,0.8463742848528333
2027,23,25,0.85,0.8867477717613571
2027,25,25,0.878,0.9309584256535848
2027,27,25,0.884,0.9177544292856686
2027,30,25,0.896,0.9070606920857657
2027,35,25,0.8160000000000001,0.8493214399801636
2027,40,25,0.772,0.8192455009521218
2028,10,25,0.42000000000000004,0.44357641745152593
2028,15,25,0.628,0.6733689482587556
2028,20,25,0.8280000000000001,0.8550414916439598
2028,23,25,0.8180000000000001,0.8684275904757148
2028,25,25,0.86,0.9032092196010472
2028,27,25,0.928,0.9551847984226736
2028,30,25,0.888,0.9023537256304477
2028,35,25,0.776,0.8547921423109761
2028,40,25,0.76,0.8104856561672963
2029,10,25,0.40800000000000003,0.42608325025799976
2029,15,25,0.604,0.6574520722189481
2029,20,25,0.782,0.8171654792061978
2029,23,25,0.77,0.8367698412430781
2029,25,25,0.852,0.8961093962032467
2029,27,25,0.846,0.9146553994404412
2029,30,25,0.89,0.9187640341502156
2029,35,25,0.79,0.8460527625497487
2029,40,25,0.756,0.8160754825055512
2030,10,25,0.382,0.43526355839541203
2030,15,25,0.608,0.6486294757985259
2030,20,25,0.72,0.7905643635227438
2030,23,25,0.864,0.9061542238209748
2030,25,25,0.928,0.949954602654347
2030,27,25,0.92,0.9341729281304715
2030,30,25,0.908,0.9240756775008326
2030,35,25,0.86,0.8934865237301263
2030,40,25,0.76,0.8206167963802656
